id,name,province_id,district_id
1,Phường Phúc Xá,1,1
4,Phường Trúc Bạch,1,1
6,Phường Vĩnh Phúc,1,1
7,Phường Cống Vị,1,1
8,Phường Liễu Giai,1,1
10,Phường Nguyễn Trung Trực,1,1
13,Phường Quán Thánh,1,1
16,Phường Ngọc Hà,1,1
19,Phường Điện Biên,1,1
22,Phường Đội Cấn,1,1
25,Phường Ngọc Khánh,1,1
28,Phường Kim Mã,1,1
31,Phường Giảng Võ,1,1
34,Phường Thành Công,1,1
37,Phường Phúc Tân,1,2
40,Phường Đồng Xuân,1,2
43,Phường Hàng Mã,1,2
46,Phường Hàng Buồm,1,2
49,Phường Hàng Đào,1,2
52,Phường Hàng Bồ,1,2
55,Phường Cửa Đông,1,2
58,Phường Lý Thái Tổ,1,2
61,Phường Hàng Bạc,1,2
64,Phường Hàng Gai,1,2
67,Phường Chương Dương,1,2
70,Phường Hàng Trống,1,2
73,Phường Cửa Nam,1,2
76,Phường Hàng Bông,1,2
79,Phường Tràng Tiền,1,2
82,Phường Trần Hưng Đạo,1,2
85,Phường Phan Chu Trinh,1,2
88,Phường Hàng Bài,1,2
91,Phường Phú Thượng,1,3
94,Phường Nhật Tân,1,3
97,Phường Tứ Liên,1,3
100,Phường Quảng An,1,3
103,Phường Xuân La,1,3
106,Phường Yên Phụ,1,3
109,Phường Bưởi,1,3
112,Phường Thụy Khuê,1,3
115,Phường Thượng Thanh,1,4
118,Phường Ngọc Thụy,1,4
121,Phường Giang Biên,1,4
124,Phường Đức Giang,1,4
127,Phường Việt Hưng,1,4
130,Phường Gia Thụy,1,4
133,Phường Ngọc Lâm,1,4
136,Phường Phúc Lợi,1,4
139,Phường Bồ Đề,1,4
142,Phường Sài Đồng,1,4
145,Phường Long Biên,1,4
148,Phường Thạch Bàn,1,4
151,Phường Phúc Đồng,1,4
154,Phường Cự Khối,1,4
157,Phường Nghĩa Đô,1,5
160,Phường Nghĩa Tân,1,5
163,Phường Mai Dịch,1,5
166,Phường Dịch Vọng,1,5
167,Phường Dịch Vọng Hậu,1,5
169,Phường Quan Hoa,1,5
172,Phường Yên Hoà,1,5
175,Phường Trung Hoà,1,5
178,Phường Cát Linh,1,6
181,Phường Văn Miếu,1,6
184,Phường Quốc Tử Giám,1,6
187,Phường Láng Thượng,1,6
190,Phường Ô Chợ Dừa,1,6
193,Phường Văn Chương,1,6
196,Phường Hàng Bột,1,6
199,Phường Láng Hạ,1,6
202,Phường Khâm Thiên,1,6
205,Phường Thổ Quan,1,6
208,Phường Nam Đồng,1,6
211,Phường Trung Phụng,1,6
214,Phường Quang Trung,1,6
217,Phường Trung Liệt,1,6
220,Phường Phương Liên,1,6
223,Phường Thịnh Quang,1,6
226,Phường Trung Tự,1,6
229,Phường Kim Liên,1,6
232,Phường Phương Mai,1,6
235,Phường Ngã Tư Sở,1,6
238,Phường Khương Thượng,1,6
241,Phường Nguyễn Du,1,7
244,Phường Bạch Đằng,1,7
247,Phường Phạm Đình Hổ,1,7
256,Phường Lê Đại Hành,1,7
259,Phường Đồng Nhân,1,7
262,Phường Phố Huế,1,7
265,Phường Đống Mác,1,7
268,Phường Thanh Lương,1,7
271,Phường Thanh Nhàn,1,7
274,Phường Cầu Dền,1,7
277,Phường Bách Khoa,1,7
280,Phường Đồng Tâm,1,7
283,Phường Vĩnh Tuy,1,7
286,Phường Bạch Mai,1,7
289,Phường Quỳnh Mai,1,7
292,Phường Quỳnh Lôi,1,7
295,Phường Minh Khai,1,7
298,Phường Trương Định,1,7
301,Phường Thanh Trì,1,8
304,Phường Vĩnh Hưng,1,8
307,Phường Định Công,1,8
310,Phường Mai Động,1,8
313,Phường Tương Mai,1,8
316,Phường Đại Kim,1,8
319,Phường Tân Mai,1,8
322,Phường Hoàng Văn Thụ,1,8
325,Phường Giáp Bát,1,8
328,Phường Lĩnh Nam,1,8
331,Phường Thịnh Liệt,1,8
334,Phường Trần Phú,1,8
337,Phường Hoàng Liệt,1,8
340,Phường Yên Sở,1,8
343,Phường Nhân Chính,1,9
346,Phường Thượng Đình,1,9
349,Phường Khương Trung,1,9
352,Phường Khương Mai,1,9
355,Phường Thanh Xuân Trung,1,9
358,Phường Phương Liệt,1,9
361,Phường Hạ Đình,1,9
364,Phường Khương Đình,1,9
367,Phường Thanh Xuân Bắc,1,9
370,Phường Thanh Xuân Nam,1,9
373,Phường Kim Giang,1,9
376,Thị trấn Sóc Sơn,1,16
379,Xã Bắc Sơn,1,16
382,Xã Minh Trí,1,16
385,Xã Hồng Kỳ,1,16
388,Xã Nam Sơn,1,16
391,Xã Trung Giã,1,16
394,Xã Tân Hưng,1,16
397,Xã Minh Phú,1,16
400,Xã Phù Linh,1,16
403,Xã Bắc Phú,1,16
406,Xã Tân Minh,1,16
409,Xã Quang Tiến,1,16
412,Xã Hiền Ninh,1,16
415,Xã Tân Dân,1,16
418,Xã Tiên Dược,1,16
421,Xã Việt Long,1,16
424,Xã Xuân Giang,1,16
427,Xã Mai Đình,1,16
430,Xã Đức Hoà,1,16
433,Xã Thanh Xuân,1,16
436,Xã Đông Xuân,1,16
439,Xã Kim Lũ,1,16
442,Xã Phú Cường,1,16
445,Xã Phú Minh,1,16
448,Xã Phù Lỗ,1,16
451,Xã Xuân Thu,1,16
454,Thị trấn Đông Anh,1,17
457,Xã Xuân Nộn,1,17
460,Xã Thuỵ Lâm,1,17
463,Xã Bắc Hồng,1,17
466,Xã Nguyên Khê,1,17
469,Xã Nam Hồng,1,17
472,Xã Tiên Dương,1,17
475,Xã Vân Hà,1,17
478,Xã Uy Nỗ,1,17
481,Xã Vân Nội,1,17
484,Xã Liên Hà,1,17
487,Xã Việt Hùng,1,17
490,Xã Kim Nỗ,1,17
493,Xã Kim Chung,1,17
496,Xã Dục Tú,1,17
499,Xã Đại Mạch,1,17
502,Xã Vĩnh Ngọc,1,17
505,Xã Cổ Loa,1,17
508,Xã Hải Bối,1,17
511,Xã Xuân Canh,1,17
514,Xã Võng La,1,17
517,Xã Tàm Xá,1,17
520,Xã Mai Lâm,1,17
523,Xã Đông Hội,1,17
526,Thị trấn Yên Viên,1,18
529,Xã Yên Thường,1,18
532,Xã Yên Viên,1,18
535,Xã Ninh Hiệp,1,18
538,Xã Đình Xuyên,1,18
541,Xã Dương Hà,1,18
544,Xã Phù Đổng,1,18
547,Xã Trung Mầu,1,18
550,Xã Lệ Chi,1,18
553,Xã Cổ Bi,1,18
556,Xã Đặng Xá,1,18
559,Xã Phú Thị,1,18
562,Xã Kim Sơn,1,18
565,Thị trấn Trâu Quỳ,1,18
568,Xã Dương Quang,1,18
571,Xã Dương Xá,1,18
574,Xã Đông Dư,1,18
577,Xã Đa Tốn,1,18
580,Xã Kiêu Kỵ,1,18
583,Xã Bát Tràng,1,18
586,Xã Kim Lan,1,18
589,Xã Văn Đức,1,18
592,Phường Cầu Diễn,1,19
622,Phường Xuân Phương,1,19
623,Phường Phương Canh,1,19
625,Phường Mỹ Đình 1,1,19
626,Phường Mỹ Đình 2,1,19
628,Phường Tây Mỗ,1,19
631,Phường Mễ Trì,1,19
632,Phường Phú Đô,1,19
634,Phường Đại Mỗ,1,19
637,Phường Trung Văn,1,19
640,Thị trấn Văn Điển,1,20
643,Xã Tân Triều,1,20
646,Xã Thanh Liệt,1,20
649,Xã Tả Thanh Oai,1,20
652,Xã Hữu Hoà,1,20
655,Xã Tam Hiệp,1,20
658,Xã Tứ Hiệp,1,20
661,Xã Yên Mỹ,1,20
664,Xã Vĩnh Quỳnh,1,20
667,Xã Ngũ Hiệp,1,20
670,Xã Duyên Hà,1,20
673,Xã Ngọc Hồi,1,20
676,Xã Vạn Phúc,1,20
679,Xã Đại áng,1,20
682,Xã Liên Ninh,1,20
685,Xã Đông Mỹ,1,20
595,Phường Thượng Cát,1,21
598,Phường Liên Mạc,1,21
601,Phường Đông Ngạc,1,21
602,Phường Đức Thắng,1,21
604,Phường Thụy Phương,1,21
607,Phường Tây Tựu,1,21
610,Phường Xuân Đỉnh,1,21
611,Phường Xuân Tảo,1,21
613,Phường Minh Khai,1,21
616,Phường Cổ Nhuế 1,1,21
617,Phường Cổ Nhuế 2,1,21
619,Phường Phú Diễn,1,21
620,Phường Phúc Diễn,1,21
8973,Thị trấn Chi Đông,1,250
8974,Xã Đại Thịnh,1,250
8977,Xã Kim Hoa,1,250
8980,Xã Thạch Đà,1,250
8983,Xã Tiến Thắng,1,250
8986,Xã Tự Lập,1,250
8989,Thị trấn Quang Minh,1,250
8992,Xã Thanh Lâm,1,250
8995,Xã Tam Đồng,1,250
8998,Xã Liên Mạc,1,250
9001,Xã Vạn Yên,1,250
9004,Xã Chu Phan,1,250
9007,Xã Tiến Thịnh,1,250
9010,Xã Mê Linh,1,250
9013,Xã Văn Khê,1,250
9016,Xã Hoàng Kim,1,250
9019,Xã Tiền Phong,1,250
9022,Xã Tráng Việt,1,250
9538,Phường Nguyễn Trãi,1,268
9541,Phường Mộ Lao,1,268
9542,Phường Văn Quán,1,268
9544,Phường Vạn Phúc,1,268
9547,Phường Yết Kiêu,1,268
9550,Phường Quang Trung,1,268
9551,Phường La Khê,1,268
9552,Phường Phú La,1,268
9553,Phường Phúc La,1,268
9556,Phường Hà Cầu,1,268
9562,Phường Yên Nghĩa,1,268
9565,Phường Kiến Hưng,1,268
9568,Phường Phú Lãm,1,268
9571,Phường Phú Lương,1,268
9886,Phường Dương Nội,1,268
10117,Phường Đồng Mai,1,268
10123,Phường Biên Giang,1,268
9574,Phường Lê Lợi,1,269
9577,Phường Phú Thịnh,1,269
9580,Phường Ngô Quyền,1,269
9583,Phường Quang Trung,1,269
9586,Phường Sơn Lộc,1,269
9589,Phường Xuân Khanh,1,269
